date,median,mean,count,
11/30/2024,3.669724771,4.229265908,573,
12/1/2024,3.8,4.228104704,492,
12/2/2024,4,4.613816246,1158,
12/3/2024,3.753378378,4.366458561,866,
12/4/2024,3.8,4.372576136,993,
12/5/2024,3.8,4.34563665,1010,
12/6/2024,3.7111334,4.333461099,779,
12/7/2024,3.8,4.374535505,423,
12/8/2024,3.7,4.355547454,442,
12/9/2024,3.835616438,4.399617064,973,
12/10/2024,3.870967742,4.45599512,1015,
12/11/2024,3.8,4.398373301,927,
12/12/2024,3.962680099,4.466742215,972,
12/13/2024,3.812656642,4.45196758,864,
12/14/2024,3.801169591,4.41112697,623,
12/15/2024,3.846772785,4.325282438,480,
12/16/2024,3.960107253,4.5337738,1228,
12/17/2024,3.700729927,4.314427773,841,
12/18/2024,4.05,4.674111945,915,
12/19/2024,3.888888889,4.462728296,849,
12/20/2024,3.964416941,4.54292765,865,
12/21/2024,3.795901827,4.418942933,664,
12/22/2024,3.863636364,4.367242144,475,
12/23/2024,3.984931554,4.522803032,1112,
12/24/2024,4,4.457107083,780,
12/25/2024,3.8,4.296796119,790,
12/26/2024,3.804499494,4.411883499,702,
12/27/2024,3.86371414,4.32032631,582,
12/28/2024,3.84341637,4.435372018,333,
12/29/2024,3.71040541,4.24902491,248,
12/30/2024,4,4.505916847,535,
12/31/2024,3.702235611,4.202504237,173,
1/1/2025,3.994580762,4.467583366,382,
1/2/2025,4.140350877,4.724102945,1127,
1/3/2025,3.933333333,4.491265761,765,
1/4/2025,4.056603774,4.486413185,601,
1/5/2025,4.035718113,4.577476045,492,
1/6/2025,4.104136401,4.6518969,1010,
1/7/2025,3.999165392,4.490445712,915,
1/8/2025,4.010802469,4.596543856,890,
1/9/2025,4,4.529325774,876,
1/10/2025,4,4.633066675,982,
1/11/2025,3.948901099,4.494684149,754,
1/12/2025,3.799988687,4.3438546,584,
1/13/2025,3.897625053,4.554215743,1216,
1/14/2025,3.92745098,4.517560596,970,
1/15/2025,3.954973118,4.59975233,976,
1/16/2025,3.950806452,4.489395317,788,
1/17/2025,3.869939947,4.3426396,936,
1/18/2025,3.772241993,4.311680273,747,
1/19/2025,3.831560284,4.357181816,476,
1/20/2025,4.09226553,4.591383718,1270,
1/21/2025,3.802281444,4.360221211,1042,
1/22/2025,3.917393711,4.507356646,956,
1/23/2025,3.918703507,4.369389074,930,
1/24/2025,3.905090835,4.472752093,1042,
1/25/2025,4,4.524149503,700,
1/26/2025,3.870967742,4.434607135,548,
1/27/2025,4,4.482023776,1300,
1/28/2025,3.958333333,4.458799206,1093,
1/29/2025,3.883254717,4.398240755,994,
1/30/2025,4.056604,4.713648,73,
1/31/2025,4.10675,4.639163,370,
2/1/2025,3.805214,4.450525,440,
2/2/2025,3.900022,4.423877,443,
2/3/2025,3.999226106,4.531732729,1218,
2/4/2025,4.090909091,4.632814112,1063,
2/5/2025,4.145833333,4.608943834,924,
2/6/2025,4,4.565106637,1112,
2/7/2025,4,4.526418243,985,
2/8/2025,4.123809524,4.593180719,783,
2/9/2025,4.19039089,4.630992081,655,
2/10/2025,4.160894056,4.774085731,1440,
2/11/2025,4.032795699,4.560445072,1002,
2/12/2025,4.1,4.587048933,1177,
2/13/2025,4.068767908,4.500881297,993,
2/14/2025,4.004329004,4.613097483,959,
2/15/2025,4.2,4.681331138,981,
2/16/2025,4.016064257,4.657398639,659,
2/17/2025,4.095451776,4.602991004,1314,
2/18/2025,4,4.524686255,1184,
2/19/2025,4.1,4.633526766,990,
2/20/2025,4.1,4.583738148,1017,
2/21/2025,4,4.615456792,896,
2/22/2025,3.816793893,4.26469014,565,
2/23/2025,3.924050633,4.513640612,521,
2/24/2025,4.152483579,4.702295395,1234,
2/25/2025,4.039833368,4.587387365,668,
2/26/2025,4.051172708,4.541506741,555,
2/27/2025,3.888888889,4.579869452,374,
2/28/2025,3.962025316,4.35092303,70,
3/1/2025,4,4.099680753,50,
3/2/2025,4.242706,4.645665,127,
3/3/2025,3.920007862,4.505188758,216,
3/4/2025,4.2,4.730042748,487,
3/5/2025,4.186501419,4.630457666,795,
3/6/2025,4.2,4.700559899,1416,
3/7/2025,4.1,4.57237823,1045,
3/8/2025,3.857142857,4.525110777,439,
3/9/2025,3.916804734,4.461315613,654,
3/10/2025,4.002782345,4.576170798,1477,
3/11/2025,3.994713,4.342445,51,
3/12/2025,4.297047,4.565013,42,
3/13/2025,4.233577,4.690052,307,
3/14/2025,4,4.478468327,873,
3/15/2025,3.980716253,4.474995985,752,
3/16/2025,3.982193,3.958678,28,
3/17/2025,4,4.527779732,1386,
3/18/2025,4.146430306,4.648627602,910,
3/19/2025,4.02173913,4.524811322,1173,
3/20/2025,4.134182909,4.654429664,1230,
3/21/2025,4,4.500737918,978,
3/22/2025,4,4.471012339,846,
3/23/2025,4.130434783,4.560499182,789,
3/24/2025,3.993243,4.541028,186,
3/25/2025,4,4.558558554,1145,
3/26/2025,4.08965344,4.586822293,1202,
3/27/2025,3.912280702,4.441424639,1250,
3/28/2025,4.014131038,4.530270849,1082,
3/29/2025,4.087591241,4.54261609,822,
3/30/2025,4.018518054,4.499156754,648,
3/31/2025,4.09997117,4.614218942,1324,
4/1/2025,4,4.510101231,1232,
4/2/2025,4.199372057,4.665552884,1207,
4/3/2025,4.24,4.696546144,1088,
4/4/2025,3.960784314,4.401288717,1091,
4/5/2025,4.087591241,4.541398899,995,
4/6/2025,4.020833333,4.522603032,819,
4/7/2025,4,4.637791944,340,
4/8/2025,4.10326087,4.780384479,1187,
4/9/2025,4.021132075,4.643585636,1155,
4/10/2025,4.087110121,4.629372584,1424,
4/11/2025,4.095413793,4.594695437,1076,
4/12/2025,4.016672982,4.566092729,1005,
4/13/2025,4,4.432884647,714,
4/14/2025,4.072681704,4.611678785,1275,
4/15/2025,4.073331841,4.508408833,1222,
4/16/2025,4.107319079,4.596814665,1170,
4/17/2025,4.2,4.855244309,1206,
4/18/2025,4.151181321,4.715542003,1236,
4/19/2025,4.000381025,4.548265496,882,
4/20/2025,4.197560976,4.605251712,788,
4/21/2025,4.083333333,4.570844083,1247,
4/22/2025,4.014234875,4.601512185,1191,
4/23/2025,4.190413111,4.748828933,1160,
4/24/2025,4.151785714,4.702247503,1249,
4/25/2025,4.01199618,4.56181717,1150,
4/26/2025,4.017733444,4.640197876,839,
4/27/2025,4.100016005,4.70623931,582,
4/28/2025,4.1,4.698855556,1165,
4/29/2025,4.142857143,4.724915413,1195,
4/30/2025,4.110631593,4.686560587,1126,
5/1/2025,4.100337675,4.754150865,1221,
5/2/2025,4.111111111,4.610689657,1105,
5/3/2025,4.097065463,4.598036898,833,
5/4/2025,4.0625,4.651628242,685,
5/5/2025,4.159090909,4.595946786,1159,
